MAV,RMS,VAR,WL,ZC,SSC,WAMP,IEMG,label,start_time,end_time
437.75,450.00354165272967,202503.1875,1023.0,1,0,2,1751.0,UP,1763807078.653692,1763807079.254378
110.625,127.7387470582047,16317.1875,295.0,1,0,1,442.5,UP,1763807079.053658,1763807079.653708
511.5,511.5,261632.25,1023.0,1,0,1,2046.0,UP,1763807079.453701,1763807080.053859
444.75,454.65776964657715,206713.6875,1023.0,1,0,2,1779.0,UP,1763807079.853679,1763807080.454221
350.25,418.8654318513286,175448.25,1290.0,1,0,2,1401.0,UP,1763807080.25404,1763807080.85373
383.625,442.97199403574035,196224.1875,1023.0,1,0,1,1534.5,UP,1763807080.655436,1763807081.25374
315.5,344.3148994743039,118552.75,826.0,1,0,2,1262.0,UP,1763807081.053731,1763807081.653774
149.125,173.27488998697993,30024.1875,481.0,1,1,3,596.5,UP,1763807081.453746,1763807082.053732
21.75,25.71478174124758,661.25,133.0,2,2,3,87.0,UP,1763807081.853746,1763807082.453796
345.75,404.0262986489865,163237.25,1194.0,1,1,2,1383.0,UP,1763807082.253839,1763807082.853764
383.625,442.97199403574035,196224.1875,1023.0,1,0,1,1534.5,UP,1763807082.654838,1763807083.253799
0.0,0.0,0.0,0.0,0,0,0,0.0,UP,1763807083.053783,1763807083.653774
254.0,270.8514352924865,73360.5,641.0,1,0,2,1016.0,UP,1763807083.454087,1763807084.054287
114.5,134.48048185517482,18085.0,332.0,1,0,3,458.0,UP,1763807083.854205,1763807084.453815
145.0,146.9489707347418,21594.0,330.0,1,0,3,580.0,UP,1763807084.253808,1763807084.853863
495.0,495.5496947834798,245569.5,1089.0,1,1,2,1980.0,UP,1763807084.653889,1763807085.253838
139.5,161.0807251039056,25947.0,372.0,1,0,1,558.0,UP,1763807085.053842,1763807085.653874
208.75,248.14851903648346,61577.6875,641.0,1,0,3,835.0,UP,1763807085.455276,1763807086.053861
35.0,37.77896239972718,1427.25,163.0,2,1,3,140.0,UP,1763807085.854176,1763807086.454334
285.75,367.34758744273796,134944.25,1512.0,1,2,3,1143.0,UP,1763807086.254462,1763807086.853887
383.625,442.97199403574035,196224.1875,1023.0,1,0,1,1534.5,UP,1763807086.653855,1763807087.253861
253.0,257.79643131742534,66459.0,576.0,1,0,2,1012.0,UP,1763807087.053934,1763807087.653882
180.5,218.62868064368865,47798.5,587.0,1,0,3,722.0,UP,1763807087.453883,1763807088.055408
358.25,418.7053707560962,175314.1875,1433.0,2,0,2,1433.0,UP,1763807087.853892,1763807088.45392
361.625,423.70530737766313,179526.1875,1199.0,1,0,2,1446.5,UP,1763807088.253978,1763807088.854428
204.5,214.95173876942704,46204.25,529.0,1,0,3,818.0,UP,1763807088.653922,1763807089.253924
57.5,64.88643926122006,4210.25,175.0,1,0,3,230.0,UP,1763807089.053893,1763807089.653935
205.5,206.45156817035806,42622.25,439.0,1,0,2,822.0,UP,1763807089.45428,1763807090.053948
468.25,469.30607017169507,220248.1875,1070.0,1,1,2,1873.0,UP,1763807089.854094,1763807090.453945
131.75,144.45998580921986,20868.6875,379.0,1,0,3,527.0,UP,1763807090.253952,1763807090.853935
77.75,93.9078670825826,8818.6875,294.0,1,1,3,311.0,UP,1763807090.653955,1763807091.25397
